Tortoise,Sausumos vėžlys
Container,Konteineris
Magpie,Šarka
Sea turtle,Jūriniai vėžliai
Football,Futbolo kamuolys
Ambulance,Greitosios pagalbos automobilis
Ladder,Kopėčios
Toothbrush,Dantų šepetėlis
Syringe,Švirkštas
Sink,Kriauklė
Toy,Žaislas
Organ (Musical Instrument),Vargonai
Cassette deck,Kasečių grotuvas
Apple,Obuolys
Human eye,Žmogaus akis
Cosmetics,Kosmetika
Paddle,Irklas
Snowman,Besmegenis
Beer,Alus
Chopsticks,Valgymo lazdelės
Human beard,Barzda
Bird,Paukštis
Parking meter,Stovėjimo zonos bilietų automatas
Traffic light,Šviesoforas
Croissant,Kruasanas
Cucumber,Agurkas
Radish,Ridikas
Towel,Rankšluostis
Doll,Lėlė
Skull,Kaukolė
Washing machine,Skalbimo mašina
Glove,Pirštinė
Tick,Erkė
Belt,Diržas
Sunglasses,Saulės akiniai
Banjo,Bandža
Cart,Vežimas
Ball,Kamuolys
Backpack,Kuprinė
Bicycle,Dviratis
Home appliance,Namų apyvokos prietaisas
Centipede,Šimtakojis
Boat,Valtis
Surfboard,Banglentė
Boot,Batas
Headphones,Ausinės
Hot dog,Dešrainis
Shorts,Šortai
Fast food,Greitas maistas
Bus,Autobusas
Boy,Berniukas
Screwdriver,Atsuktuvas
Bicycle wheel,Dviračio ratas
Barge,Barža
Laptop,Nešiojamas kompiuteris
Miniskirt,Mini sijonas
Drill (Tool),Gražtas
Dress,Suknelė
Bear,Lokys
Waffle,Vaflis
Pancake,Blynas
Brown bear,Rudasis lokys
Woodpecker,Genys
Blue jay,Amerikinis mėlynasis kėkštas
Pretzel,Riestainis
Bagel,Didriestainis
Tower,Bokštas
Teapot,Arbatinukas
Person,Asmuo
Bow and arrow,Lankas ir strėle
Swimwear,Maudymukas
Beehive,Avilys
Brassiere,Liemenukas
Bee,Bitė
Bat (Animal),Šikšnosparnis
Starfish,Jūrų žvaigždė
Popcorn,Spraginti kukurūzai
Burrito,Buritas
Chainsaw,Grandininis pjūklas
Balloon,Balionas
Wrench,Veržliaraktis
Tent,Palapinė
Vehicle registration plate,Automobilio valstybinio numerio ženklas
Lantern,Žibintas
Toaster,Skrudintuvas
Flashlight,Žibintuvėlis
Billboard,Reklaminis kelio stendas
Tiara,Tiara
Limousine,Limuzinas
Necklace,Kaklo papuošalas
Carnivore,Mesėdis
Scissors,Žirklės
Stairs,Laiptai
Computer keyboard,Klaviatūra
Printer,Spausdintuvas
Traffic sign,Kelio ženklas
Chair,Kėdė
Shirt,Marškinėliai
Poster,Plakatas
Cheese,Sūris
Sock,Kojinė
Fire hydrant,Gaisrinis hidrantas
Land vehicle,Žemės transporto priemonė
Earrings,Auskarai
Tie,Kaklaraištis
Watercraft,Vandens transporto priemonė
Cabinetry,Spintelė
Suitcase,Lagaminas
Muffin,Keksas
Bidet,Bidė
Snack,Užkandis
Snowmobile,Sniegaeigis
Clock,Laikrodis
Medical equipment,Medicininė įranga
Cattle,Galvijai
Cello,Violončelė
Jet ski,Vandens motociklas
Camel,Kupranugaris
Coat,Paltas
Suit,Kostiumas
Desk,Stalas
Cat,Katė
Bronze sculpture,Bronzinė skulptūra
Juice,Sultys
Gondola,Gondola
Beetle,Vabalas
Cannon,Patranka
Computer mouse,Kompiuterinė pelė
Cookie,Sausainis
Office building,Biurų pastatas
Fountain,Fontanas
Coin,Moneta
Calculator,Skaičiuotuvas
Cocktail,Kokteilis
Computer monitor,Kompiuterio monitorius
Box,Dėžė
Stapler,Segiklis
Christmas tree,Kalėdinė eglutė
Cowboy hat,Kaubojaus kepurė
Hiking equipment,Žygio įranga
Studio couch,Studijos sofa
Drum,Būgnas
Dessert,Desertas
Wine rack,Vyno lentyna
Drink,Gėrimas
Zucchini,Cukinija
Ladle,Samtis
Human mouth,Žmogaus burna
Dairy Product,Pieno produktas
Dice,Kauliukas
Oven,Orkaitė
Dinosaur,Dinozauras
Ratchet (Device),Terkšlė
Couch,Sofa
Cricket ball,Kriketo kamuolys
Winter melon,Šiurkštusis vaškūnas
Spatula,Mentelė
Whiteboard,Magnetinė rašymo lenta
Pencil sharpener,Drožtukas
Door,Durys
Hat,Kepurė
Shower,Dušas
Eraser,Trintukas
Fedora,Fedora
Guacamole,Gvakamolė
Dagger,Durklas
Scarf,Šalikas
Dolphin,Delfinas
Sombrero,Sombreras
Tin can,Skardinė
Mug,Puodelis
Tap,Čiaupas
Harbor seal,Paprastasis ruonis
Stretcher,Neštuvas
Can opener,Skardinių atidarytuvas
